PERMNO,date,TICKER,COMNAM,PRC,VOL
14008,03/01/2016,AMGN,AMGEN INC,148.39000,4480614
14008,03/02/2016,AMGN,AMGEN INC,147.49001,3690307
14008,03/03/2016,AMGN,AMGEN INC,145.84000,2989489
14008,03/04/2016,AMGN,AMGEN INC,145.98000,3471394
14008,03/07/2016,AMGN,AMGEN INC,147.31000,3283846
14008,03/08/2016,AMGN,AMGEN INC,144.63000,3064070
14008,03/09/2016,AMGN,AMGEN INC,140.89999,6075415
14008,03/10/2016,AMGN,AMGEN INC,141.03000,4573465
14008,03/11/2016,AMGN,AMGEN INC,144.57001,4861709
14008,03/14/2016,AMGN,AMGEN INC,144.62000,3013754
14008,03/15/2016,AMGN,AMGEN INC,143.21001,3034212
14008,03/16/2016,AMGN,AMGEN INC,143.98000,6104692
14008,03/17/2016,AMGN,AMGEN INC,144.13000,4899686
14008,03/18/2016,AMGN,AMGEN INC,145.50999,6802568
14008,03/21/2016,AMGN,AMGEN INC,147.00999,3182045
14008,03/22/2016,AMGN,AMGEN INC,150.62000,4219396
14008,03/23/2016,AMGN,AMGEN INC,148.75999,3107554
14008,03/24/2016,AMGN,AMGEN INC,149.24001,3025752
14008,03/28/2016,AMGN,AMGEN INC,148.37000,2110955
14008,03/29/2016,AMGN,AMGEN INC,149.49001,2735745
14008,03/30/2016,AMGN,AMGEN INC,149.48000,2324509
14008,03/31/2016,AMGN,AMGEN INC,149.92999,2799598
14008,04/01/2016,AMGN,AMGEN INC,154.16000,3972212
14008,04/04/2016,AMGN,AMGEN INC,154.66000,2314237
14008,04/05/2016,AMGN,AMGEN INC,152.95000,2604766
14008,04/06/2016,AMGN,AMGEN INC,159.66000,4067029
14008,04/07/2016,AMGN,AMGEN INC,157.38000,3363961
14008,04/08/2016,AMGN,AMGEN INC,156.46001,2522139
14008,04/11/2016,AMGN,AMGEN INC,156.39000,2732781
14008,04/12/2016,AMGN,AMGEN INC,158.60001,2763431
14008,04/13/2016,AMGN,AMGEN INC,160.06000,3860554
14008,04/14/2016,AMGN,AMGEN INC,160.12000,2406821
14008,04/15/2016,AMGN,AMGEN INC,160.13000,2824303
14008,04/18/2016,AMGN,AMGEN INC,161.70000,2081057
14008,04/19/2016,AMGN,AMGEN INC,162.10001,2692986
14008,04/20/2016,AMGN,AMGEN INC,162.75999,2374399
14008,04/21/2016,AMGN,AMGEN INC,164.35001,2348393
14008,04/22/2016,AMGN,AMGEN INC,163.19000,2757177
14008,04/25/2016,AMGN,AMGEN INC,163.46001,1596314
14008,04/26/2016,AMGN,AMGEN INC,162.85001,2156564
14008,04/27/2016,AMGN,AMGEN INC,161.00000,2729473
14008,04/28/2016,AMGN,AMGEN INC,160.56000,3354062
14008,04/29/2016,AMGN,AMGEN INC,158.30000,5386570
14008,05/02/2016,AMGN,AMGEN INC,158.99001,2433704
14008,05/03/2016,AMGN,AMGEN INC,156.35001,2862931
14008,05/04/2016,AMGN,AMGEN INC,154.17999,3048466
14008,05/05/2016,AMGN,AMGEN INC,154.25000,2325678
14008,05/06/2016,AMGN,AMGEN INC,153.19000,3004825
14008,05/09/2016,AMGN,AMGEN INC,155.41000,2990103
14008,05/10/2016,AMGN,AMGEN INC,157.24001,2585002
14008,05/11/2016,AMGN,AMGEN INC,154.17999,2741880
14008,05/12/2016,AMGN,AMGEN INC,152.89999,2981649
14008,05/13/2016,AMGN,AMGEN INC,152.35001,2451164
14008,05/16/2016,AMGN,AMGEN INC,153.27000,2415093
14008,05/17/2016,AMGN,AMGEN INC,150.11000,4486459
14008,05/18/2016,AMGN,AMGEN INC,150.83000,3234477
14008,05/19/2016,AMGN,AMGEN INC,148.67000,3023612
14008,05/20/2016,AMGN,AMGEN INC,150.17999,3076143
14008,05/23/2016,AMGN,AMGEN INC,149.30000,1543433
14008,05/24/2016,AMGN,AMGEN INC,152.72000,2580981
14008,05/25/2016,AMGN,AMGEN INC,155.57001,3053437
14008,05/26/2016,AMGN,AMGEN INC,155.55000,1808633
14008,05/27/2016,AMGN,AMGEN INC,156.74001,1364204
14008,05/31/2016,AMGN,AMGEN INC,157.95000,3204387
14008,06/01/2016,AMGN,AMGEN INC,158.05000,1717157
14008,06/02/2016,AMGN,AMGEN INC,159.87000,2386956
14008,06/03/2016,AMGN,AMGEN INC,159.19000,2149342
14008,06/06/2016,AMGN,AMGEN INC,160.19000,1897638
14008,06/07/2016,AMGN,AMGEN INC,158.89000,1896652
14008,06/08/2016,AMGN,AMGEN INC,158.00000,2475994
