Date,AAL,AAPL,ADBE,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BMRN,CA,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTRP,CTSH,DISCA,DISCK,DISH,DLTR,EA,EBAY,ENDP,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HSIC,ILMN,INCT,INCY,INTU,ISRG,JD,KHC,LBTYA,LBTYK,LLTC,LMCA,LMCK,LRCX,LVNTA,MAR,MAT,MDLZ,MNST,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PCLN,PYPL,QCOM,QVCA,REGN,ROST,SBAC,SBUX,SNDK,SRCL,STX,SWKS,SYMC,TMUS,TRIP,TSCO,TSLA,TXN,ULTA,VIAB,VOD,VRSK,VRTX,WBA,WDC,WFM,XLNX,YHOO
6/15/2015,40.06999969,126.9199982,78.90000153,82.91999817,53.56000137,72.5,173.2200012,19.70999908,156.1000061,423.6700134,24.54000092,143.1199951,69.30000305,205.7299957,121.9300003,29.80500031,,67.16999817,82.81999969,171.1900024,29.17000008,137.2299957,28.47999954,34.66999817,,62.97999954,32.72999954,30.60000038,72.25,77.91000366,61.56999969,25.25252533,81.44999695,87.77999878,107.2200012,20.94000053,80.70999908,39.77999878,,,118.1600037,527.2000122,543,55.31372452,215.0700073,1037.73999,103.6800003,103.0500031,163.8933258,36.63000107,,55.99000168,52.38999939,,,,81.26000214,,77.01999664,25.87000084,40.11000061,42.30333328,45.47999954,24.23999977,34.18000031,73.58999634,54.70000076,93.431427,33.54999924,148.1900024,21.06999969,102.7900009,223.3200073,47.49000168,64.30000305,,,66.62999725,,499.0599976,48.68999863,117.7600021,52.27000046,,134.75,53.36999893,106.1100006,,38.95999908,75.83000183,90.30999756,250.3800049,53.04999924,154.5700073,,36.02999878,73.90000153,123.5,84.41999817,91.75,,46.31000137,
6/16/2015,39.47999954,127.5999985,79.94000244,83.27999878,53.43999863,72.84999847,177.1399994,19.81999969,156.2299957,427.2600098,24.73999977,141.9900055,69.68000031,205,121.0999985,30.17000008,,67.51000214,83.48999786,169.9700012,29.44000053,137.9799957,28.70999908,34.58000183,,62.72000122,32.88999939,30.82999992,72.55999756,78.55000305,62.86000061,25.47138023,81.51999664,88.63999939,107.9499969,21.07500076,81.05999756,40.31499863,,,119.0699997,528.1500244,544.8699951,55.76862717,215.9400024,1037.73999,104.0699997,103.7300034,163.6100006,36.5,,55.95999908,52.34999847,,,,82.55000305,,76.73000336,26.37999916,40.74000168,44.06000137,45.83000183,24.23999977,34.08000183,72.05000305,54.99000168,95.27285767,33.54999924,149.8600006,21.32999992,103.1500015,225.8600006,47.70999908,64.05000305,,,66.45999908,,501.7600098,49.16999817,117.4100037,52.97000122,,135.4600067,53.20000076,106.3300018,,38.84999847,76.44999695,91.12999725,253.1199951,53.09000015,155.5,,36.52000046,74.12999725,123.3399963,85.87999725,91.05000305,,46.79999924,
6/17/2015,39.88000107,127.3000031,77.91000366,83.27999878,53.58000183,72.80999756,179.8099976,19.54000092,155.6499939,427.8099976,24.87000084,140.6900024,70.06999969,209.5099945,123.5999985,30.29000092,,67.80999756,83.95999908,170.0099945,29.80999947,138.8800049,28.93000031,34.81999969,,62.08000183,33.34000015,31.27000046,71.97000122,79.72000122,64.48000336,25.48400688,80.69999695,88.08999634,107.8899994,21.35000038,81.79000092,40.46500015,,,118.8799973,529.2600098,546.5999756,56.02745056,215.3699951,1037.73999,105.3899994,103.8399963,162.9433289,35.45000076,,56.54999924,52.72000122,,,,82.25,,77.01999664,26.95000076,40.79000092,44.08333206,45.97000122,24.47999954,34.22999954,71.23000336,55.31999969,94.27143097,33.77999878,151.2700043,21.57999992,102.1800003,226.2200012,47.79999924,63.90000153,,,66.55000305,,512.8900146,49.43000031,117.6500015,53.24000168,,135.6100006,53.18000031,106.5699997,,39.77000046,87.65000153,91.73000336,260.4100037,53.29000092,155.6199951,,36.27000046,74.80000305,124.0500031,85.62000275,92.01999664,,46.63000107,
6/18/2015,39.97999954,127.8799973,79.38999939,84.58000183,54.16999817,73.26999664,184.0099945,19.84000015,160.1199951,439.3900146,25.13999939,143,71.09999847,210.6999969,138.6600037,30.48999977,,69.38999939,84.69999695,170.4600067,30.23999977,140.5,29.20999908,35.54000092,,63.25,33.90000153,31.79000092,71.88999939,80.30999756,65.26999664,25.5429287,83.33999634,89.58999634,109.6800003,21.70499992,82.91000366,41.34500122,,,121.2099991,536.7299805,556.1799927,56.89019775,218.7700043,1037.73999,108.9000015,104.3899994,165.3333282,35.56999969,,56.86000061,53.15000153,,,,83.87000275,,78.15000153,27.01000023,40.84999847,44.61999893,46.72000122,24.46999931,34.41999817,72.55999756,56.09000015,94.74285889,33.77000046,150.7400055,21.94000053,105.1800003,229.3600006,48.24000168,64.84999847,,,67.36000061,,527.9699707,50.15999985,120.4599991,54.11000061,,137.4799957,54.13999939,109.9800034,,39.56999969,90.66999817,92.94999695,261.8900146,54.22000122,156.4799957,,37.06999969,75.33000183,127.6299973,87.80000305,92.41999817,,47.15999985,
6/19/2015,41.56000137,126.5999985,79.69999695,84.41000366,53.56999969,72.29000092,184.3999939,19.71999931,160.7200012,434.9200134,25.01000023,142.8899994,70.73999786,210.8699951,137.9299927,30.47999954,,69.43000031,83.73000336,169.6699982,30.25499916,140.3000031,29.03000069,34.99000168,,62.49000168,33.90999985,31.95000076,70.51999664,79.55999756,65.94999695,25.74494934,84.02999878,89.87000275,108.6800003,21.48999977,82.51000214,42.63499832,,,119.8000031,536.6900024,557.5200195,56.79999924,218.0899963,1037.73999,107.7699966,104.3199997,164.9166718,34.61000061,,56.75999832,52.81999969,,,,83.23000336,,77.63999939,26.67000008,41.04000092,44.57333374,46.09999847,24.46999931,35.56000137,71.62000275,55.97999954,93.87142944,33.93000031,149.3800049,21.87000084,104.6200027,229.4499969,48.09999847,64.75,,,66.87999725,,522.2800293,50.47000122,119.75,53.93000031,,137.0899963,53.34999847,110.1999969,,39.15999985,90.94000244,92.44000244,262.5100098,54.50999832,154.7299957,,36.95000076,75.25,128.0399933,88.51999664,91.01999664,,46.29999924,
6/22/2015,43.02999878,127.6100006,82.27999878,85,54.54999924,73.01000214,188.2400055,19.86000061,162.2200012,436.2900085,25.22999954,143.2799988,70.51000214,209.6399994,140,30.65999985,,70.26999664,83.94000244,170.3099976,30.48500061,140.1900024,28.94000053,35.04999924,,63.20000076,33.93999863,31.93000031,70.37999725,80.63999939,66.62000275,25.98905754,84.16000366,91.05000305,109.5,21.68000031,84.73999786,43.02000046,,,121.4899979,538.1900024,559.6799927,57.14117813,220.0099945,1037.73999,109.2200012,105.5,166.4833374,34.59000015,,57.13000107,53.15000153,,,,83.66999817,,77.91000366,26.87000084,41.04999924,44.5,46.22999954,24.62999916,35.65000153,71.41999817,56.77000046,96.41428375,34.38999939,144.8899994,21.78000069,104.5999985,230.6399994,48.79000092,65.16000366,,,67.36000061,,520.710022,50.31000137,119.7099991,53.90000153,,137.5200043,53.86999893,110.9199982,,39.20000076,90.73999786,93.05000305,259.7900085,55.5,155.6900024,,37.59000015,75.29000092,129.0299988,87.75,91.59999847,,46.54999924,
6/23/2015,42.72999954,127.0299988,83.55000305,84.76999664,54.09000015,72.23000336,190.9199982,19.95999908,161.6900024,445.9899902,25.42000008,141.6399994,70.75,211.9799957,138.8600006,30.84000015,,69.91999817,83.16000366,170.0899963,30.37999916,139.6499939,28.79000092,34.86000061,,63.29000092,34.04000092,32,70.66000366,80.37000275,66.58000183,26.06481552,83.93000031,90.81999969,109.8300018,21.62000084,87.87999725,42.84999847,,,122.2099991,540.4799805,563.3900146,57.1294136,220.75,1037.73999,109.3099976,104.7600021,165.5399933,34.59000015,,57.25,53.43000031,,,,83.77999878,,77.58999634,26.79999924,41.09999847,44.46666718,45.90999985,24.48999977,35.47000122,71.01999664,56.47000122,97.31285858,34.54999924,150.3899994,21.21999931,103.4199982,231.7599945,48.79999924,65.05999756,,,66.98000336,,521.0499878,50.54000092,120.1600037,54.11999893,,137.3899994,52.29000092,110.2799988,,39.5,90.23999786,92.88999939,267.6700134,54.83000183,156.3600006,,37.79999924,74.95999908,131.6199951,87.08999634,88.62000275,,46.11000061,
6/24/2015,42.24000168,128.1100006,83.40000153,83.62999725,53.90999985,71.33000183,184.9799957,20.10000038,159.8899994,440.8399963,25.44000053,139.9700012,70.33999634,210.3200073,136.4900055,30.67000008,,69.12000275,81.54000092,168.4799957,30.18000031,138.3399963,28.51000023,33.88999939,,63.02000046,33.75,31.76000023,69.33999634,80.56999969,67.68000031,25.93013382,82.26000214,90.62000275,108.9800034,21.52499962,88.86000061,42.5,,,122.0100021,537.8400269,558.5700073,56.59607697,220.1699982,1037.73999,105.2900009,103.0500031,164.1499939,34.77999878,,56.50999832,52.97000122,,,,83.20999908,,76.37000275,26.73999977,41.08000183,44.31999969,45.63999939,24.05999947,35.34000015,70.86000061,56.63999939,96.94428253,33.18000031,148.1799927,21.01000023,102.9400024,230.1900024,48.15000153,64.90000153,,,65.34999847,,516.5900269,50.08000183,119.0400009,53.70999908,,135.7100067,51.97000122,108.4000015,,39.02999878,88.98000336,91.87999725,265.1700134,53.99000168,155.5899963,,37.47000122,74.08999634,129.5899963,86.15000153,87.73000336,,45.75,
6/25/2015,42.24000168,127.5,83.94000244,83.34999847,53.29999924,71.37000275,185.8999939,20.05999947,158.7599945,440.1000061,25.39999962,139.2299957,69.23000336,207.5500031,135.3600006,30.17499924,,69.19000244,80.73000336,167.8399963,30.44000053,137.4499969,28.39999962,33.70000076,,63.70000076,33.59999847,31.64999962,69.66000366,80.45999908,67.44999695,25.92592621,82.22000122,91.18000031,109.2699966,21.37000084,87.98000336,42.43999863,,,120.2300034,535.2299805,557.9500122,56.66274643,219,1037.73999,104.4499969,103.5999985,164.9533386,34.02000046,,56.20999908,52.91999817,,,,83.73000336,,76.16999817,26.62000084,41.08000183,45.59000015,45.65000153,24.02000046,35.34000015,70.36000061,56.59000015,94.89142609,32.65000153,147.0200043,21.17000008,102.6299973,231.7700043,48.22999954,64.33000183,,,65.26000214,,519.2399902,49.79000092,119.5800018,54.06999969,,135.0099945,50.68999863,109.8700027,,39.29999924,88.16000366,92.69999695,268.7900085,53.79999924,154.8399963,,37.47999954,74.66000366,128.3500061,86.36000061,85.94999695,,45.68000031,
6/26/2015,41.43999863,126.75,82.73999786,83.30999756,52.20000076,71.12999725,184.4499969,19.78000069,158.0200043,438.1000061,25.04000092,135.1499939,71.11000061,203.3600006,134.8399963,29.88999939,,69.11000061,79.66000366,171.5,30.63500023,138.0599976,28.28000069,33.66999817,,63.83000183,33.84000015,31.54999924,69.73000336,81.66000366,67.62999725,25.69023514,80.80999756,90.84999847,110.7099991,21.54999924,88.01000214,42.50500107,,,119.5,531.6900024,553.0599976,57.03921509,218.0599976,1037.73999,104.0500031,103.2399979,165.7166595,33.45500183,,56.11999893,52.79999924,,,,82.86000061,,76.01999664,26.89999962,41.11000061,46.47000122,45.25999832,19.65999985,34.75,69.05999756,56.59999847,93.08856964,32.36000061,144.4799957,20.73999977,100.5199966,232.4100037,47.99000168,64.81999969,,,64.66999817,,520.6300049,50.27000046,117.3099976,54.61999893,,135.7299957,50.06000137,106.9000015,,39.09999847,88.83999634,92.75,267.0899963,52.90000153,157.9799957,,37.20000076,74.51000214,126.8700027,86.76999664,84.44999695,,44.79999924,
