text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @UPBOptionMil: BREAKING:  The CDC is checking the S&amp;P500 to see why its immune to Virus,FALSE,0,NA,2020-02-14T04:53:07Z,FALSE,NA,1228180346539167744,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ButtersMPLS,54,TRUE,FALSE,NA,NA
"Happy Valentine’s Day! ❤️

Why not surprise your loved ones with something unique and fun? 😍 Learn something new to… https://t.co/7v1y34UJcX",FALSE,0,NA,2020-02-14T04:47:48Z,TRUE,NA,1228179007629250561,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",CafeMithi,0,FALSE,FALSE,121.037,14.6439
RT @UPBOptionMil: BREAKING:  The CDC is checking the S&amp;P500 to see why its immune to Virus,FALSE,0,NA,2020-02-14T04:12:56Z,FALSE,NA,1228170231492698112,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Betta_call_saul,54,TRUE,FALSE,NA,NA
RT @UPBOptionMil: BREAKING:  The CDC is checking the S&amp;P500 to see why its immune to Virus,FALSE,0,NA,2020-02-14T04:08:50Z,FALSE,NA,1228169202034327552,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",inv8r8r,54,TRUE,FALSE,NA,NA
"RT @Stimpyz1: @DiMartinoBooth @LizAnnSonders @gamesblazer06 Liquidity helps, but stocks are an alternative currency now DD. They reflect th…",FALSE,0,NA,2020-02-14T04:06:31Z,FALSE,NA,1228168616610123776,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RickSan48951708,1,TRUE,FALSE,NA,NA
@GraemeIsaak Another reason on foreign companies is watching growing middle class in China. Next decade I think the… https://t.co/GibK5KCNsd,FALSE,0,radigancarter,2020-02-14T04:01:09Z,TRUE,1228163903923736579,1228167268195917826,1044353324454203393,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",radigancarter,0,FALSE,FALSE,NA,NA
"@People4Bernie maybe you can explain how taxing wallstreet wont cause the s&amp;p500 to crash ? 
how ubi funded by big… https://t.co/e8kFhPRfQu",FALSE,0,People4Bernie,2020-02-14T03:43:02Z,TRUE,1228107703194726400,1228162707339251712,3141672447,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",keepsitkrypto,0,FALSE,FALSE,NA,NA
RT @nonameblitz: If u want a nice #bitcoin rally you want it to happen slow and smooth. An S&amp;P500 style rally. If it happens to booms like…,FALSE,0,NA,2020-02-14T03:38:53Z,FALSE,NA,1228161666015092743,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",CryptoDaleks,1,TRUE,FALSE,NA,NA
RT @UPBOptionMil: BREAKING:  The CDC is checking the S&amp;P500 to see why its immune to Virus,FALSE,0,NA,2020-02-14T03:21:55Z,FALSE,NA,1228157393466527744,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Deerockboom,54,TRUE,FALSE,NA,NA
S&amp;P500 ib good hands so long as Trump keeps hammering  the Fed for negative rates on twitter. https://t.co/QDSQMKgSKN,FALSE,0,NA,2020-02-14T03:20:23Z,FALSE,NA,1228157009679138819,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",miiirac,0,FALSE,FALSE,NA,NA
Growth and defensive stocks make up 70% of the S&amp;P500,FALSE,0,NA,2020-02-14T03:15:33Z,FALSE,NA,1228155791154257921,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realtraderx,0,FALSE,FALSE,NA,NA
@RayDalio Can you pls stop marketing yourself so much. Really annoying. Take page from Buffet. Be humble. Learn som… https://t.co/XDZefDYljf,FALSE,0,RayDalio,2020-02-14T02:54:14Z,TRUE,1227249706897727489,1228150426605965312,62603893,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SSK_tweet,0,FALSE,FALSE,NA,NA
