gvkey,iid,datadate,tic,cshtrd,prccd,gind,sic,,,
1704,1,3/1/2016,AMAT,9985840,19.37,453010,3559,,,
1704,1,3/2/2016,AMAT,11375670,19.49,453010,3559,,,
1704,1,3/3/2016,AMAT,8137237,19.45,453010,3559,,,
1704,1,3/4/2016,AMAT,8932573,19.39,453010,3559,,,
1704,1,3/7/2016,AMAT,9204121,19.44,453010,3559,,,
1704,1,3/8/2016,AMAT,12899040,18.78,453010,3559,,,
1704,1,3/9/2016,AMAT,10106800,19.17,453010,3559,,,
1704,1,3/10/2016,AMAT,15402070,19.57,453010,3559,,,
1704,1,3/11/2016,AMAT,15370540,20.035,453010,3559,,,
1704,1,3/14/2016,AMAT,11496350,19.91,453010,3559,,,
1704,1,3/15/2016,AMAT,10055430,19.9,453010,3559,,,
1704,1,3/16/2016,AMAT,14360930,20.05,453010,3559,,,
1704,1,3/17/2016,AMAT,13491110,20.28,453010,3559,,,
1704,1,3/18/2016,AMAT,19045600,20.49,453010,3559,,,
1704,1,3/21/2016,AMAT,13960840,20.73,453010,3559,,,
1704,1,3/22/2016,AMAT,7551607,20.78,453010,3559,,,
1704,1,3/23/2016,AMAT,12699020,20.28,453010,3559,,,
1704,1,3/24/2016,AMAT,14108550,20.15,453010,3559,,,
1704,1,3/28/2016,AMAT,5408420,20.2,453010,3559,,,
1704,1,3/29/2016,AMAT,7850893,20.59,453010,3559,,,
1704,1,3/30/2016,AMAT,12436560,21.04,453010,3559,,,
1704,1,3/31/2016,AMAT,14524510,21.18,453010,3559,,,
1704,1,4/1/2016,AMAT,11886500,21.42,453010,3559,,,
1704,1,4/4/2016,AMAT,7935324,21.17,453010,3559,,,
1704,1,4/5/2016,AMAT,8911608,20.95,453010,3559,,,
1704,1,4/6/2016,AMAT,8720011,21.06,453010,3559,,,
1704,1,4/7/2016,AMAT,9180639,20.8,453010,3559,,,
1704,1,4/8/2016,AMAT,8668012,20.79,453010,3559,,,
1704,1,4/11/2016,AMAT,13809980,20.94,453010,3559,,,
1704,1,4/12/2016,AMAT,8225049,20.93,453010,3559,,,
1704,1,4/13/2016,AMAT,8372503,21.31,453010,3559,,,
1704,1,4/14/2016,AMAT,18154170,21.48,453010,3559,,,
1704,1,4/15/2016,AMAT,12349830,21.47,453010,3559,,,
1704,1,4/18/2016,AMAT,9351737,21.56,453010,3559,,,
1704,1,4/19/2016,AMAT,12242960,21.2,453010,3559,,,
1704,1,4/20/2016,AMAT,13615850,21.14,453010,3559,,,
1704,1,4/21/2016,AMAT,8923680,20.945,453010,3559,,,
1704,1,4/22/2016,AMAT,9139325,21.1,453010,3559,,,
1704,1,4/25/2016,AMAT,6772333,20.94,453010,3559,,,
1704,1,4/26/2016,AMAT,9228577,21.27,453010,3559,,,
1704,1,4/27/2016,AMAT,9512206,21.42,453010,3559,,,
1704,1,4/28/2016,AMAT,10875740,20.81,453010,3559,,,
1704,1,4/29/2016,AMAT,14884510,20.47,453010,3559,,,
1704,1,5/2/2016,AMAT,11773450,20.31,453010,3559,,,
1704,1,5/3/2016,AMAT,16630820,20.1,453010,3559,,,
1704,1,5/4/2016,AMAT,12115050,19.85,453010,3559,,,
1704,1,5/5/2016,AMAT,9268094,19.85,453010,3559,,,
1704,1,5/6/2016,AMAT,7069070,19.87,453010,3559,,,
1704,1,5/9/2016,AMAT,5616437,19.89,453010,3559,,,
1704,1,5/10/2016,AMAT,11661720,19.98,453010,3559,,,
1704,1,5/11/2016,AMAT,20502440,20.01,453010,3559,,,
1704,1,5/12/2016,AMAT,11769350,19.63,453010,3559,,,
1704,1,5/13/2016,AMAT,10157640,19.61,453010,3559,,,
1704,1,5/16/2016,AMAT,7795782,19.85,453010,3559,,,
1704,1,5/17/2016,AMAT,7844915,19.64,453010,3559,,,
1704,1,5/18/2016,AMAT,10002940,19.92,453010,3559,,,
1704,1,5/19/2016,AMAT,14095100,19.91,453010,3559,,,
1704,1,5/20/2016,AMAT,53381180,22.66,453010,3559,,,
1704,1,5/23/2016,AMAT,24851860,22.9,453010,3559,,,
1704,1,5/24/2016,AMAT,19039320,23.49,453010,3559,,,
1704,1,5/25/2016,AMAT,14746710,23.66,453010,3559,,,
1704,1,5/26/2016,AMAT,12325790,23.73,453010,3559,,,
1704,1,5/27/2016,AMAT,18555460,24.44,453010,3559,,,
1704,1,5/31/2016,AMAT,18795060,24.42,453010,3559,,,
1704,1,6/1/2016,AMAT,10449450,24.38,453010,3559,,,
1704,1,6/2/2016,AMAT,18034630,24.52,453010,3559,,,
1704,1,6/3/2016,AMAT,16194210,24.39,453010,3559,,,
1704,1,6/6/2016,AMAT,13550490,24.17,453010,3559,,,
1704,1,6/7/2016,AMAT,10472150,24.17,453010,3559,,,
1704,1,6/8/2016,AMAT,8007417,24.23,453010,3559,,,
1704,1,6/9/2016,AMAT,11913370,24.42,453010,3559,,,
1704,1,6/10/2016,AMAT,12630170,24.07,453010,3559,,,
1704,1,6/13/2016,AMAT,11253050,23.94,453010,3559,,,
1704,1,6/14/2016,AMAT,14554830,23.74,453010,3559,,,
1704,1,6/15/2016,AMAT,13908890,23.7,453010,3559,,,
1704,1,6/16/2016,AMAT,12827760,23.69,453010,3559,,,
1704,1,6/17/2016,AMAT,22120360,23.43,453010,3559,,,
1704,1,6/20/2016,AMAT,13020620,23.63,453010,3559,,,
1704,1,6/21/2016,AMAT,7720110,23.83,453010,3559,,,
1704,1,6/22/2016,AMAT,11644130,23.97,453010,3559,,,
1704,1,6/23/2016,AMAT,10939550,24.52,453010,3559,,,
1704,1,6/24/2016,AMAT,35722750,23.23,453010,3559,,,
1704,1,6/27/2016,AMAT,20324060,22.29,453010,3559,,,
1704,1,6/28/2016,AMAT,13573310,22.94,453010,3559,,,
1704,1,6/29/2016,AMAT,13315140,23.56,453010,3559,,,
1704,1,6/30/2016,AMAT,10256560,23.97,453010,3559,,,
1878,1,3/1/2016,ADSK,2822908,54.31,451030,7370,,,
1878,1,3/2/2016,ADSK,1424190,54.41,451030,7370,,,
1878,1,3/3/2016,ADSK,1445688,54.79,451030,7370,,,
1878,1,3/4/2016,ADSK,2792837,56.25,451030,7370,,,
1878,1,3/7/2016,ADSK,2632184,58.17,451030,7370,,,
1878,1,3/8/2016,ADSK,2416795,56.86,451030,7370,,,
1878,1,3/9/2016,ADSK,2179749,56.69,451030,7370,,,
1878,1,3/10/2016,ADSK,2404867,55.95,451030,7370,,,
