gvkey,iid,datadate,tic,cshtrd,prccd
001045,04,03/01/2016,AAL,7885767.0000,41.8300
001045,04,03/02/2016,AAL,7913151.0000,41.5900
001045,04,03/03/2016,AAL,8812844.0000,41.8800
001045,04,03/04/2016,AAL,9473843.0000,41.6300
001045,04,03/07/2016,AAL,6960733.0000,42.1300
001045,04,03/08/2016,AAL,8416607.0000,40.7700
001045,04,03/09/2016,AAL,8546320.0000,41.6500
001045,04,03/10/2016,AAL,5813119.0000,41.6300
001045,04,03/11/2016,AAL,5687233.0000,42.4700
001045,04,03/14/2016,AAL,4557207.0000,42.5900
001045,04,03/15/2016,AAL,4445013.0000,42.1100
001045,04,03/16/2016,AAL,4792785.0000,42.3100
001045,04,03/17/2016,AAL,5959986.0000,42.1000
001045,04,03/18/2016,AAL,13731820.0000,43.4400
001045,04,03/21/2016,AAL,4756313.0000,43.4700
001045,04,03/22/2016,AAL,6721295.0000,42.7600
001045,04,03/23/2016,AAL,9580766.0000,41.9200
001045,04,03/24/2016,AAL,12501700.0000,40.5000
001045,04,03/28/2016,AAL,6401483.0000,40.9100
001045,04,03/29/2016,AAL,6782936.0000,41.3500
001045,04,03/30/2016,AAL,6074969.0000,41.3800
001045,04,03/31/2016,AAL,8138009.0000,41.0100
001045,04,04/01/2016,AAL,11243140.0000,39.5200
001045,04,04/04/2016,AAL,7831156.0000,39.3700
001045,04,04/05/2016,AAL,7638159.0000,38.9300
001045,04,04/06/2016,AAL,5649603.0000,38.9000
001045,04,04/07/2016,AAL,8206269.0000,38.3600
001045,04,04/08/2016,AAL,6087408.0000,38.5000
001045,04,04/11/2016,AAL,7931839.0000,38.7300
001045,04,04/12/2016,AAL,6424930.0000,39.1900
001045,04,04/13/2016,AAL,12493610.0000,39.9400
001045,04,04/14/2016,AAL,10132400.0000,41.1700
001045,04,04/15/2016,AAL,6980754.0000,40.9100
001045,04,04/18/2016,AAL,5236684.0000,40.9200
001045,04,04/19/2016,AAL,6650663.0000,41.3400
001045,04,04/20/2016,AAL,4982782.0000,41.2600
001045,04,04/21/2016,AAL,10747190.0000,40.0100
001045,04,04/22/2016,AAL,20936110.0000,38.2100
001045,04,04/25/2016,AAL,12657330.0000,37.0000
001045,04,04/26/2016,AAL,14686600.0000,36.9200
001045,04,04/27/2016,AAL,12303790.0000,36.7100
001045,04,04/28/2016,AAL,9807204.0000,35.9700
001045,04,04/29/2016,AAL,17793780.0000,34.6900
001045,04,05/02/2016,AAL,8807305.0000,34.4300
001045,04,05/03/2016,AAL,10672710.0000,34.5800
001045,04,05/04/2016,AAL,13409680.0000,33.2100
001045,04,05/05/2016,AAL,11583120.0000,32.8050
001045,04,05/06/2016,AAL,12747310.0000,33.0300
001045,04,05/09/2016,AAL,9311225.0000,32.9400
001045,04,05/10/2016,AAL,8120627.0000,33.7700
001045,04,05/11/2016,AAL,8110728.0000,32.8600
001045,04,05/12/2016,AAL,14211240.0000,31.3300
