"","caldt","vwretd","vwretx","ewretd","ewretx","totval","totcnt","usdval","usdcnt","spindx","sprtrn","date"
"1",19900102,0.017527,0.017527,0.020005,0.020005,2371902980,500,2331045780,500,359.69,0.017799,1990-01-02
"2",19900103,-0.002028,-0.002048,-0.002146,-0.002177,2367046300,500,2371902980,500,358.76,-0.002586,1990-01-03
"3",19900104,-0.007913,-0.008347,-0.006324,-0.00651,2347288970,500,2367046300,500,355.67,-0.008613,1990-01-04
"4",19900105,-0.010069,-0.010091,-0.005938,-0.005969,2323602290,500,2347288970,500,352.2,-0.009756,1990-01-05
"5",19900108,0.004798,0.00471,0.002367,0.002287,2334547310,500,2323602290,500,353.79,0.004514,1990-01-08
"6",19900109,-0.011822,-0.011833,-0.01174,-0.011764,2306922540,500,2334547310,500,349.62,-0.011787,1990-01-09
"7",19900110,-0.006397,-0.006407,-0.006232,-0.006269,2292141630,500,2306922540,500,347.31,-0.006607,1990-01-10
"8",19900111,0.003555,0.003555,0.002241,0.002241,2300291100,500,2292141630,500,348.53,0.003513,1990-01-11
"9",19900112,-0.024482,-0.024655,-0.024473,-0.024571,2243576620,500,2300291100,500,339.93,-0.024675,1990-01-12
"10",19900115,-0.009086,-0.009086,-0.009624,-0.009624,2223191720,500,2243576620,500,337,-0.008619,1990-01-15
"11",19900116,0.01136,0.011313,0.00948,0.009408,2248342270,500,2223191720,500,340.75,0.011128,1990-01-16
"12",19900117,-0.00965,-0.009688,-0.008445,-0.008476,2226560590,500,2248342270,500,337.4,-0.009831,1990-01-17
"13",19900118,0.002464,0.002464,0.000288,0.000288,2232047320,500,2226560590,500,338.19,0.002341,1990-01-18
"14",19900119,0.002848,0.002818,-0.001329,-0.001383,2238338340,500,2232047320,500,339.15,0.002839,1990-01-19
"15",19900122,-0.025516,-0.025619,-0.024093,-0.024169,2180994470,500,2238338340,500,330.38,-0.025859,1990-01-22
"16",19900123,0.001458,0.001452,0.000258,0.000232,2184161080,500,2180994470,500,331.61,0.003723,1990-01-23
"17",19900124,-0.001784,-0.001976,-0.004483,-0.004548,2179844150,500,2184161080,500,330.26,-0.004071,1990-01-24
"18",19900125,-0.013214,-0.013288,-0.011031,-0.011124,2150879200,500,2179844150,500,326.08,-0.012657,1990-01-25
"19",19900126,-0.000937,-0.00103,0.000774,0.00062,2148663190,500,2150879200,500,325.8,-0.000859,1990-01-26
"20",19900129,-0.00148,-0.001691,-0.005162,-0.005396,2145029810,500,2148663190,500,325.2,-0.001842,1990-01-29
"21",19900130,-0.00682,-0.007078,-0.009987,-0.010159,2129848180,500,2145029810,500,322.98,-0.006827,1990-01-30
"22",19900131,0.018505,0.018502,0.021363,0.021359,2169257170,500,2129848180,500,329.08,0.018887,1990-01-31
"23",19900201,-0.000526,-0.000676,0.000717,0.000655,2169125560,500,2169257170,500,328.79,-0.000881,1990-02-01
"24",19900202,0.006636,0.006474,0.00841,0.008292,2183169170,500,2169125560,500,330.92,0.006478,1990-02-02
"25",19900205,0.003658,0.002926,0.002497,0.002089,2189558140,500,2183169170,500,331.85,0.00281,1990-02-05
"26",19900206,-0.006471,-0.006835,-0.007444,-0.00754,2174591820,500,2189558140,500,329.66,-0.006599,1990-02-06
"27",19900207,0.012745,0.012543,0.011511,0.011421,2201867350,500,2174591820,500,333.75,0.012407,1990-02-07
"28",19900208,-0.002146,-0.002204,-0.00379,-0.003847,2196124720,500,2200157220,499,332.96,-0.002367,1990-02-08
"29",19900209,0.002327,0.001854,0.002063,0.001806,2200195400,500,2196124720,500,333.62,0.001982,1990-02-09
"30",19900212,-0.01016,-0.010526,-0.010946,-0.011326,2177036080,500,2200195400,500,330.08,-0.010611,1990-02-12
"31",19900213,0.003099,0.002794,0.003011,0.002772,2183118950,500,2177036080,500,331.02,0.002848,1990-02-13
"32",19900214,0.002925,0.002865,0.003745,0.003625,2189373920,500,2183118950,500,332.01,0.002991,1990-02-14
"33",19900215,0.008808,0.008738,0.005428,0.005348,2208504380,500,2189373920,500,334.89,0.008674,1990-02-15
"34",19900216,-0.006203,-0.006478,-0.003012,-0.003219,2194197500,500,2208504380,500,332.72,-0.00648,1990-02-16
"35",19900220,-0.014207,-0.014278,-0.013649,-0.013772,2162867970,500,2194197500,500,327.99,-0.014216,1990-02-20
"36",19900221,-0.000619,-0.000626,0.002574,0.00256,2161513780,500,2162867970,500,327.67,-0.000976,1990-02-21
"37",19900222,-0.005867,-0.00599,-0.005924,-0.006109,2148567050,500,2161513780,500,325.7,-0.006012,1990-02-22
"38",19900223,-0.004672,-0.004933,-0.003993,-0.004344,2137967700,500,2148567050,500,324.15,-0.004759,1990-02-23
"39",19900226,0.014076,0.013798,0.011891,0.011362,2167466410,500,2137967700,500,328.67,0.013944,1990-02-26
"40",19900227,0.005389,0.00519,0.004281,0.003977,2178692310,500,2167466410,500,330.26,0.004838,1990-02-27
"41",19900228,0.005013,0.004802,0.007968,0.007892,2189175420,500,2178692310,500,331.89,0.004936,1990-02-28
"42",19900301,0.003048,0.002926,0.004689,0.004552,2195581050,500,2189175420,500,332.74,0.002561,1990-03-01
"43",19900302,0.008332,0.008326,0.007711,0.007681,2213862040,500,2195581050,500,335.54,0.008415,1990-03-02
"44",19900305,-0.004746,-0.00513,-0.003645,-0.004018,2198407120,500,2209742930,500,333.74,-0.005364,1990-03-05
"45",19900306,0.012692,0.012602,0.014783,0.014594,2226110600,500,2198407120,500,337.93,0.012555,1990-03-06
"46",19900307,-0.003088,-0.003123,-0.003701,-0.003748,2217419330,500,2224364990,500,336.95,-0.0029,1990-03-07
"47",19900308,0.009651,0.009623,0.012041,0.011996,2238758150,500,2217419330,500,340.27,0.009853,1990-03-08
"48",19900309,-0.006386,-0.006804,-0.005534,-0.005841,2223524950,500,2238758150,500,337.93,-0.006877,1990-03-09
"49",19900312,0.002424,0.002362,0.002673,0.002535,2228776580,500,2223524950,500,338.67,0.00219,1990-03-12
"50",19900313,-0.007962,-0.008004,-0.005789,-0.005895,2210936650,500,2228776580,500,336,-0.007884,1990-03-13
"51",19900314,0.002751,0.002734,0.003486,0.003463,2216980650,500,2210936650,500,336.87,0.002589,1990-03-14
"52",19900315,0.00332,0.003292,0.003011,0.003002,2224279080,500,2216980650,500,338.07,0.003562,1990-03-15
"53",19900316,0.011167,0.011136,0.008837,0.008753,2249024100,500,2224279080,500,341.91,0.011359,1990-03-16
"54",19900319,0.005245,0.005201,0.00417,0.004118,2260720460,500,2249024100,500,343.53,0.004738,1990-03-19
"55",19900320,-0.005728,-0.0058,-0.005572,-0.005651,2247607500,500,2260720460,500,341.57,-0.005705,1990-03-20
"56",19900321,-0.005066,-0.005074,-0.00359,-0.003603,2236202320,500,2247607500,500,339.74,-0.005358,1990-03-21
"57",19900322,-0.012495,-0.012501,-0.012379,-0.012386,2208248450,500,2236202320,500,335.69,-0.011921,1990-03-22
"58",19900323,0.004903,0.00489,0.004821,0.004805,2219048670,500,2208248450,500,337.22,0.004558,1990-03-23
"59",19900326,0.001969,0.001347,0.001382,0.000988,2222038740,500,2219048670,500,337.63,0.001216,1990-03-26
"60",19900327,0.010609,0.010567,0.010648,0.010587,2245520040,500,2222038740,500,341.5,0.011462,1990-03-27
"61",19900328,0.002265,0.00224,0.001745,0.001706,2250549090,500,2245520040,500,342,0.001464,1990-03-28
"62",19900329,-0.00344,-0.00344,-0.004719,-0.004719,2242807590,500,2250549090,500,340.79,-0.003538,1990-03-29
"63",19900330,-0.002828,-0.002922,-0.002447,-0.00253,2235390660,500,2242807590,500,339.94,-0.002494,1990-03-30
"64",19900402,-0.003003,-0.003203,-0.004738,-0.004857,2228230430,500,2235390660,500,338.7,-0.003648,1990-04-02
"65",19900403,0.014589,0.014538,0.013507,0.013454,2260623960,500,2228230430,500,343.64,0.014585,1990-04-03
"66",19900404,-0.007022,-0.007482,-0.007381,-0.007575,2243711270,500,2260623960,500,341.09,-0.007421,1990-04-04
"67",19900405,-0.000634,-0.000749,-0.002159,-0.002213,2242031550,500,2243711270,500,340.73,-0.001055,1990-04-05
"68",19900406,-0.00181,-0.001907,-0.001981,-0.002079,2237755150,500,2242031550,500,340.08,-0.001908,1990-04-06
"69",19900409,0.003429,0.003408,0.000999,0.000937,2245381410,500,2237755150,500,341.37,0.003793,1990-04-09
"70",19900410,0.002021,0.002021,0.001772,0.001772,2249918620,500,2245381410,500,342.07,0.002051,1990-04-10
"71",19900411,-0.000395,-0.000399,0.000697,0.000684,2249019850,500,2249918620,500,341.92,-0.000439,1990-04-11
"72",19900412,0.007629,0.007535,0.005459,0.005411,2265966840,500,2249019850,500,344.34,0.007078,1990-04-12
"73",19900416,0.001186,0.00109,-0.001338,-0.0014,2268436900,500,2265966840,500,344.74,0.001162,1990-04-16
"74",19900417,-0.00011,-0.000128,-0.00048,-0.000503,2268147660,500,2268436900,500,344.68,-0.000174,1990-04-17
"75",19900418,-0.011545,-0.011583,-0.010011,-0.010043,2241876200,500,2268147660,500,340.72,-0.011489,1990-04-18
"76",19900419,-0.007883,-0.007901,-0.006568,-0.006598,2224163670,500,2241876200,500,338.09,-0.007719,1990-04-19
"77",19900420,-0.009104,-0.009132,-0.013734,-0.013772,2203853360,500,2224163670,500,335.12,-0.008785,1990-04-20
"78",19900423,-0.011236,-0.01135,-0.012515,-0.012613,2177080900,500,2203853360,500,331.05,-0.012145,1990-04-23
"79",19900424,-0.002203,-0.002274,-0.001146,-0.001286,2172129340,500,2177080900,500,330.36,-0.002084,1990-04-24
"80",19900425,0.005336,0.005223,0.004575,0.004398,2183474790,500,2172129340,500,332.03,0.005055,1990-04-25
"81",19900426,0.002813,0.00265,0.001275,0.00123,2189260160,500,2183474790,500,332.92,0.00268,1990-04-26
"82",19900427,-0.011882,-0.011911,-0.012314,-0.012357,2163183890,500,2189260160,500,329.11,-0.011444,1990-04-27
"83",19900430,0.005559,0.005275,0.005609,0.005361,2174598700,500,2163183890,500,330.8,0.005135,1990-04-30
"84",19900501,0.004754,0.004484,0.003559,0.00335,2184397450,500,2174598700,500,332.25,0.004383,1990-05-01
"85",19900502,0.006828,0.006779,0.004133,0.004013,2199204810,500,2184397450,500,334.48,0.006712,1990-05-02
"86",19900503,0.003381,0.003075,0.004485,0.004338,2205968460,500,2199204810,500,335.57,0.003259,1990-05-03
"87",19900504,0.008809,0.008286,0.008979,0.008771,2224247260,500,2205968460,500,338.39,0.008404,1990-05-04
"88",19900507,0.006472,0.006169,0.006086,0.005851,2237968800,500,2224247260,500,340.53,0.006324,1990-05-07
"89",19900508,0.005085,0.004715,0.005921,0.005826,2248519820,500,2237968800,500,342.01,0.004346,1990-05-08
"90",19900509,0.002095,0.001877,0.002867,0.002734,2252740350,500,2248519820,500,342.86,0.002485,1990-05-09
"91",19900510,0.003764,0.003616,0.001299,0.001135,2260886530,500,2252740350,500,343.82,0.0028,1990-05-10
"92",19900511,0.02326,0.02302,0.023244,0.023132,2312931930,500,2260886530,500,352,0.023792,1990-05-11
"93",19900514,0.008448,0.007959,0.00951,0.009023,2331339550,500,2312931930,500,354.75,0.007813,1990-05-14
"94",19900515,-0.000853,-0.000904,-8.9e-05,-0.000218,2329231100,500,2331339550,500,354.28,-0.001325,1990-05-15
"95",19900516,-0.00094,-0.001153,-0.001298,-0.001431,2326546380,500,2329231100,500,354,-0.00079,1990-05-16
"96",19900517,0.001527,0.001479,-0.000473,-0.000536,2329987360,500,2326546380,500,354.47,0.001328,1990-05-17
"97",19900518,0.000419,0.000414,0.002005,0.001985,2330952980,500,2329987360,500,354.64,0.00048,1990-05-18
"98",19900521,0.009805,0.009577,0.008695,0.00847,2353275540,500,2330952980,500,358,0.009474,1990-05-21
"99",19900522,0.001561,0.001341,0.000438,0.00028,2356430330,500,2353275540,500,358.43,0.001201,1990-05-22
"100",19900523,0.002261,0.002219,0.00225,0.002213,2361660300,500,2356430330,500,359.29,0.002399,1990-05-23
"101",19900524,-0.001675,-0.001808,-0.000855,-0.001073,2357389770,500,2361660300,500,358.41,-0.002449,1990-05-24
"102",19900525,-0.010589,-0.011045,-0.007786,-0.00845,2330330660,500,2356357390,500,354.58,-0.010686,1990-05-25
"103",19900529,0.016972,0.016728,0.015267,0.015032,2369312240,500,2330330660,500,360.65,0.017119,1990-05-29
"104",19900530,0.001021,0.000988,0.00135,0.001286,2371652430,500,2369312240,500,360.86,0.000582,1990-05-30
"105",19900531,0.001383,0.00119,0.003438,0.003382,2374490580,500,2371652430,500,361.23,0.001025,1990-05-31
"106",19900601,0.005151,0.005062,0.003247,0.003141,2386509110,500,2374490580,500,363.16,0.005343,1990-06-01
"107",19900604,0.012349,0.01216,0.011544,0.011303,2415528670,500,2386509110,500,367.4,0.011675,1990-06-04
"108",19900605,-0.002138,-0.00228,0.000159,-5.3e-05,2410021330,500,2415528670,500,366.64,-0.002069,1990-06-05
"109",19900606,-0.004335,-0.004375,-0.003044,-0.003096,2399478410,500,2410021330,500,364.96,-0.004582,1990-06-06
"110",19900607,-0.004876,-0.00492,-0.003889,-0.003937,2387673710,500,2399478410,500,363.15,-0.004959,1990-06-07
"111",19900608,-0.012226,-0.012246,-0.011093,-0.011139,2356839970,500,2386077970,500,358.71,-0.012226,1990-06-08
"112",19900611,0.008427,0.007993,0.008208,0.007797,2375677450,500,2356839970,500,361.63,0.00814,1990-06-11
"113",19900612,0.012956,0.012911,0.009218,0.009156,2406348700,500,2375677450,500,366.25,0.012775,1990-06-12
"114",19900613,-0.003644,-0.003678,-0.005929,-0.006011,2397497910,500,2406348700,500,364.9,-0.003686,1990-06-13
"115",19900614,-0.005459,-0.005492,-0.003846,-0.003861,2384331230,500,2397497910,500,362.9,-0.005481,1990-06-14
"116",19900615,-0.000325,-0.000335,-0.002087,-0.002148,2383537800,500,2384331230,500,362.91,2.8e-05,1990-06-15
"117",19900618,-0.015894,-0.015959,-0.016213,-0.016323,2345499310,500,2383537800,500,356.88,-0.016616,1990-06-18
