caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
19900102,0.017527,0.017527,0.020005,0.020005,2371902980.00,500,2331045780.00,500,359.69,0.017799
19900103,-0.002028,-0.002048,-0.002146,-0.002177,2367046300.00,500,2371902980.00,500,358.76,-0.002586
19900104,-0.007913,-0.008347,-0.006324,-0.006510,2347288970.00,500,2367046300.00,500,355.67,-0.008613
19900105,-0.010069,-0.010091,-0.005938,-0.005969,2323602290.00,500,2347288970.00,500,352.20,-0.009756
19900108,0.004798,0.004710,0.002367,0.002287,2334547310.00,500,2323602290.00,500,353.79,0.004514
19900109,-0.011822,-0.011833,-0.011740,-0.011764,2306922540.00,500,2334547310.00,500,349.62,-0.011787
19900110,-0.006397,-0.006407,-0.006232,-0.006269,2292141630.00,500,2306922540.00,500,347.31,-0.006607
19900111,0.003555,0.003555,0.002241,0.002241,2300291100.00,500,2292141630.00,500,348.53,0.003513
19900112,-0.024482,-0.024655,-0.024473,-0.024571,2243576620.00,500,2300291100.00,500,339.93,-0.024675
19900115,-0.009086,-0.009086,-0.009624,-0.009624,2223191720.00,500,2243576620.00,500,337.00,-0.008619
19900116,0.011360,0.011313,0.009480,0.009408,2248342270.00,500,2223191720.00,500,340.75,0.011128
19900117,-0.009650,-0.009688,-0.008445,-0.008476,2226560590.00,500,2248342270.00,500,337.40,-0.009831
19900118,0.002464,0.002464,0.000288,0.000288,2232047320.00,500,2226560590.00,500,338.19,0.002341
19900119,0.002848,0.002818,-0.001329,-0.001383,2238338340.00,500,2232047320.00,500,339.15,0.002839
19900122,-0.025516,-0.025619,-0.024093,-0.024169,2180994470.00,500,2238338340.00,500,330.38,-0.025859
19900123,0.001458,0.001452,0.000258,0.000232,2184161080.00,500,2180994470.00,500,331.61,0.003723
19900124,-0.001784,-0.001976,-0.004483,-0.004548,2179844150.00,500,2184161080.00,500,330.26,-0.004071
19900125,-0.013214,-0.013288,-0.011031,-0.011124,2150879200.00,500,2179844150.00,500,326.08,-0.012657
19900126,-0.000937,-0.001030,0.000774,0.000620,2148663190.00,500,2150879200.00,500,325.80,-0.000859
19900129,-0.001480,-0.001691,-0.005162,-0.005396,2145029810.00,500,2148663190.00,500,325.20,-0.001842
19900130,-0.006820,-0.007078,-0.009987,-0.010159,2129848180.00,500,2145029810.00,500,322.98,-0.006827
19900131,0.018505,0.018502,0.021363,0.021359,2169257170.00,500,2129848180.00,500,329.08,0.018887
19900201,-0.000526,-0.000676,0.000717,0.000655,2169125560.00,500,2169257170.00,500,328.79,-0.000881
19900202,0.006636,0.006474,0.008410,0.008292,2183169170.00,500,2169125560.00,500,330.92,0.006478
19900205,0.003658,0.002926,0.002497,0.002089,2189558140.00,500,2183169170.00,500,331.85,0.002810
19900206,-0.006471,-0.006835,-0.007444,-0.007540,2174591820.00,500,2189558140.00,500,329.66,-0.006599
19900207,0.012745,0.012543,0.011511,0.011421,2201867350.00,500,2174591820.00,500,333.75,0.012407
19900208,-0.002146,-0.002204,-0.003790,-0.003847,2196124720.00,500,2200157220.00,499,332.96,-0.002367
19900209,0.002327,0.001854,0.002063,0.001806,2200195400.00,500,2196124720.00,500,333.62,0.001982
19900212,-0.010160,-0.010526,-0.010946,-0.011326,2177036080.00,500,2200195400.00,500,330.08,-0.010611
19900213,0.003099,0.002794,0.003011,0.002772,2183118950.00,500,2177036080.00,500,331.02,0.002848
19900214,0.002925,0.002865,0.003745,0.003625,2189373920.00,500,2183118950.00,500,332.01,0.002991
19900215,0.008808,0.008738,0.005428,0.005348,2208504380.00,500,2189373920.00,500,334.89,0.008674
19900216,-0.006203,-0.006478,-0.003012,-0.003219,2194197500.00,500,2208504380.00,500,332.72,-0.006480
19900220,-0.014207,-0.014278,-0.013649,-0.013772,2162867970.00,500,2194197500.00,500,327.99,-0.014216
19900221,-0.000619,-0.000626,0.002574,0.002560,2161513780.00,500,2162867970.00,500,327.67,-0.000976
19900222,-0.005867,-0.005990,-0.005924,-0.006109,2148567050.00,500,2161513780.00,500,325.70,-0.006012
19900223,-0.004672,-0.004933,-0.003993,-0.004344,2137967700.00,500,2148567050.00,500,324.15,-0.004759
19900226,0.014076,0.013798,0.011891,0.011362,2167466410.00,500,2137967700.00,500,328.67,0.013944
19900227,0.005389,0.005190,0.004281,0.003977,2178692310.00,500,2167466410.00,500,330.26,0.004838
19900228,0.005013,0.004802,0.007968,0.007892,2189175420.00,500,2178692310.00,500,331.89,0.004936
19900301,0.003048,0.002926,0.004689,0.004552,2195581050.00,500,2189175420.00,500,332.74,0.002561
19900302,0.008332,0.008326,0.007711,0.007681,2213862040.00,500,2195581050.00,500,335.54,0.008415
19900305,-0.004746,-0.005130,-0.003645,-0.004018,2198407120.00,500,2209742930.00,500,333.74,-0.005364
19900306,0.012692,0.012602,0.014783,0.014594,2226110600.00,500,2198407120.00,500,337.93,0.012555
19900307,-0.003088,-0.003123,-0.003701,-0.003748,2217419330.00,500,2224364990.00,500,336.95,-0.002900
19900308,0.009651,0.009623,0.012041,0.011996,2238758150.00,500,2217419330.00,500,340.27,0.009853
19900309,-0.006386,-0.006804,-0.005534,-0.005841,2223524950.00,500,2238758150.00,500,337.93,-0.006877
19900312,0.002424,0.002362,0.002673,0.002535,2228776580.00,500,2223524950.00,500,338.67,0.002190
19900313,-0.007962,-0.008004,-0.005789,-0.005895,2210936650.00,500,2228776580.00,500,336.00,-0.007884
19900314,0.002751,0.002734,0.003486,0.003463,2216980650.00,500,2210936650.00,500,336.87,0.002589
19900315,0.003320,0.003292,0.003011,0.003002,2224279080.00,500,2216980650.00,500,338.07,0.003562
19900316,0.011167,0.011136,0.008837,0.008753,2249024100.00,500,2224279080.00,500,341.91,0.011359
19900319,0.005245,0.005201,0.004170,0.004118,2260720460.00,500,2249024100.00,500,343.53,0.004738
19900320,-0.005728,-0.005800,-0.005572,-0.005651,2247607500.00,500,2260720460.00,500,341.57,-0.005705
19900321,-0.005066,-0.005074,-0.003590,-0.003603,2236202320.00,500,2247607500.00,500,339.74,-0.005358
19900322,-0.012495,-0.012501,-0.012379,-0.012386,2208248450.00,500,2236202320.00,500,335.69,-0.011921
19900323,0.004903,0.004890,0.004821,0.004805,2219048670.00,500,2208248450.00,500,337.22,0.004558
19900326,0.001969,0.001347,0.001382,0.000988,2222038740.00,500,2219048670.00,500,337.63,0.001216
19900327,0.010609,0.010567,0.010648,0.010587,2245520040.00,500,2222038740.00,500,341.50,0.011462
