DATE,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx,totval,totcnt,usdval,usdcnt
19900102,0.014433,0.014406,0.012481,0.012390,0.017799,359.69,3353702160.00,6810,3305621900.00,6805
19900103,0.000022,-0.000002,0.006485,0.006365,-0.002586,358.76,3353333650.00,6809,3353355320.00,6807
19900104,-0.006487,-0.006836,-0.000336,-0.000410,-0.008613,355.67,3324048330.00,6803,3347071490.00,6801
19900105,-0.007631,-0.007658,0.000680,0.000664,-0.009756,352.20,3298669500.00,6805,3323985460.00,6801
19900108,0.003075,0.002940,0.001957,0.001684,0.004514,353.79,3308085220.00,6805,3297908640.00,6802
19900109,-0.009269,-0.009309,-0.001415,-0.001463,-0.011787,349.62,3277304380.00,6806,3308082640.00,6804
19900110,-0.006844,-0.006862,-0.004610,-0.004629,-0.006607,347.31,3244361310.00,6807,3266745000.00,6804
19900111,0.002619,0.002594,0.002212,0.002197,0.003513,348.53,3254259760.00,6805,3244348050.00,6802
19900112,-0.022551,-0.022717,-0.015355,-0.015487,-0.024675,339.93,3180365890.00,6805,3254257020.00,6803
19900115,-0.008903,-0.008903,-0.004993,-0.004993,-0.008619,337.00,3152811100.00,6805,3180363220.00,6803
19900116,0.008723,0.008671,-0.001171,-0.001207,0.011128,340.75,3179872460.00,6804,3152423460.00,6802
19900117,-0.006947,-0.006984,0.000124,-0.000048,-0.009831,337.40,3158018990.00,6808,3179793820.00,6802
19900118,0.000333,0.000326,-0.002670,-0.002689,0.002341,338.19,3158585710.00,6807,3157485050.00,6804
19900119,0.003150,0.003111,0.004832,0.004812,0.002839,339.15,3168045810.00,6805,3158110370.00,6803
19900122,-0.022215,-0.022326,-0.011002,-0.011065,-0.025859,330.38,3096915610.00,6797,3167357800.00,6794
19900123,-0.000081,-0.000111,-0.002137,-0.002178,0.003723,331.61,3096853150.00,6799,3096531800.00,6793
19900124,-0.004775,-0.004924,-0.011451,-0.011503,-0.004071,330.26,3082079700.00,6800,3096649570.00,6796
19900125,-0.009854,-0.009981,-0.000783,-0.000944,-0.012657,326.08,3051025740.00,6801,3081234560.00,6797
19900126,-0.003405,-0.003536,-0.004488,-0.004577,-0.000859,325.80,3041281950.00,6809,3051023500.00,6800
19900129,-0.002978,-0.003165,-0.006289,-0.006384,-0.001842,325.20,3030926510.00,6806,3040591120.00,6805
19900130,-0.008592,-0.008807,-0.010780,-0.010862,-0.006827,322.98,3003581730.00,6803,3030194110.00,6801
19900131,0.016311,0.016303,0.007105,0.007076,0.018887,329.08,3051808110.00,6803,3001362580.00,6800
19900201,0.001098,0.000964,0.003167,0.003119,-0.000881,328.79,3054590440.00,6799,3051781620.00,6799
19900202,0.007203,0.007070,0.006756,0.006722,0.006478,330.92,3076207080.00,6799,3054401690.00,6795
19900205,0.004264,0.003664,0.003700,0.003522,0.002810,331.85,3087696640.00,6799,3076193610.00,6797
19900206,-0.004796,-0.005076,0.000851,0.000798,-0.006599,329.66,3071966370.00,6799,3087696640.00,6799
19900207,0.010518,0.010370,0.006206,0.006170,0.012407,333.75,3103650940.00,6792,3071797250.00,6792
19900208,-0.000555,-0.000625,0.002204,0.002146,-0.002367,332.96,3099740060.00,6791,3101612090.00,6788
19900209,0.002516,0.002061,0.003708,0.003525,0.001982,333.62,3106274650.00,6793,3099587690.00,6788
19900212,-0.008743,-0.009125,-0.002827,-0.002989,-0.010611,330.08,3077892090.00,6793,3106233680.00,6791
19900213,0.001495,0.001242,-0.002349,-0.002452,0.002848,331.02,3081722760.00,6795,3077892090.00,6793
19900214,0.002070,0.002022,-0.000178,-0.000199,0.002991,332.01,3087949560.00,6792,3081718890.00,6792
19900215,0.007678,0.007621,0.005332,0.005305,0.008674,334.89,3114118400.00,6790,3087761840.00,6788
19900216,-0.004366,-0.004627,0.001816,0.001716,-0.006480,332.72,3100336490.00,6792,3114028930.00,6788
19900220,-0.012805,-0.012866,-0.007348,-0.007374,-0.014216,327.99,3060595060.00,6791,3100316760.00,6785
19900221,-0.001964,-0.001996,-0.005267,-0.005287,-0.000976,327.67,3054262410.00,6790,3060353190.00,6788
19900222,-0.003193,-0.003335,0.003801,0.003668,-0.006012,325.70,3044044420.00,6789,3054098430.00,6787
19900223,-0.005440,-0.005683,-0.003394,-0.003548,-0.004759,324.15,3026541170.00,6784,3043838470.00,6782
19900226,0.009421,0.009161,-0.001126,-0.001236,0.013944,328.67,3055217920.00,6791,3026541170.00,6783
19900227,0.005183,0.004998,0.003138,0.003055,0.004838,330.26,3070633050.00,6791,3055199120.00,6787
19900228,0.005600,0.005438,0.004070,0.004038,0.004936,331.89,3087995240.00,6795,3070499650.00,6788
19900301,0.002960,0.002843,0.001105,0.001043,0.002561,332.74,3096901870.00,6798,3087974890.00,6793
19900302,0.008011,0.007998,0.006342,0.006314,0.008415,335.54,3121638810.00,6794,3096869260.00,6793
19900305,-0.003228,-0.003724,0.000274,0.000055,-0.005364,333.74,3109575930.00,6786,3121187100.00,6784
19900306,0.010611,0.010492,0.005962,0.005844,0.012555,337.93,3140471830.00,6787,3108989690.00,6784
19900307,-0.001645,-0.001680,0.001821,0.001795,-0.002900,336.95,3135378070.00,6790,3140457550.00,6784
19900308,0.008561,0.008515,0.006805,0.006775,0.009853,340.27,3161239900.00,6792,3134509230.00,6789
19900309,-0.004732,-0.005161,0.000415,0.000180,-0.006877,337.93,3145717610.00,6788,3160874040.00,6787
19900312,0.001731,0.001594,-0.000265,-0.000462,0.002190,338.67,3150686660.00,6786,3145672640.00,6786
19900313,-0.006391,-0.006465,-0.001490,-0.001584,-0.007884,336.00,3130859830.00,6790,3150673900.00,6785
19900314,0.002620,0.002579,0.003435,0.003395,0.002589,336.87,3139124980.00,6790,3130835900.00,6786
19900315,0.002671,0.002647,0.002698,0.002676,0.003562,338.07,3147444450.00,6789,3139110190.00,6786
19900316,0.008938,0.008912,0.004334,0.004301,0.011359,341.91,3175532510.00,6788,3147367320.00,6785
19900319,0.003920,0.003865,-0.000700,-0.000762,0.004738,343.53,3187815520.00,6791,3175530340.00,6786
